simulator-1  | 2026-03-24 15:48:47,408 [INFO] simulator.main: Configuration loaded
simulator-1  | 2026-03-24 15:48:47,453 [INFO] simulator.persistence.database: Connected to PostgreSQL
simulator-1  | 2026-03-24 15:48:47,454 [INFO] simulator.persistence.database: Database table room_states ready
simulator-1  | 2026-03-24 15:48:47,455 [INFO] gmqtt.mqtt.protocol: [CONNECTION MADE]
simulator-1  | 2026-03-24 15:48:47,455 [INFO] simulator.main: Connected to MQTT broker at mqtt-broker:1883
simulator-1  | 2026-03-24 15:48:47,516 [INFO] simulator.engine.world_engine: Fleet initialized: 200 rooms (200 restored from DB, 0 fresh)
simulator-1  | 2026-03-24 15:48:47,519 [INFO] gmqtt.mqtt.package: [SEND SUB] 1 [b'campus/bldg_01/command']
simulator-1  | 2026-03-24 15:48:47,520 [INFO] gmqtt.mqtt.package: [SEND SUB] 2 [b'campus/bldg_01/+/command']
simulator-1  | 2026-03-24 15:48:47,520 [INFO] gmqtt.mqtt.package: [SEND SUB] 3 [b'campus/bldg_01/+/+/command']
simulator-1  | 2026-03-24 15:48:47,520 [INFO] simulator.engine.world_engine: MQTT command subscriptions registered for bldg_01
simulator-1  | 2026-03-24 15:48:47,520 [INFO] simulator.engine.world_engine: World engine running: 200 room tasks + sync + fleet health
simulator-1  | 2026-03-24 15:48:47,521 [INFO] gmqtt.client: [SUBACK] 1 (1,)
simulator-1  | 2026-03-24 15:48:47,521 [INFO] gmqtt.client: [SUBACK] 2 (1,)
simulator-1  | 2026-03-24 15:48:47,521 [INFO] gmqtt.client: [SUBACK] 3 (1,)
simulator-1  | 2026-03-24 15:48:48,520 [INFO] simulator.main: Event loop latency 0.00032 s
simulator-1  | 2026-03-24 15:48:49,521 [INFO] simulator.main: Event loop latency 0.00117 s
simulator-1  | 2026-03-24 15:48:50,521 [INFO] simulator.main: Event loop latency 0.00097 s
simulator-1  | 2026-03-24 15:48:51,521 [INFO] simulator.main: Event loop latency 0.00113 s
simulator-1  | 2026-03-24 15:48:52,520 [INFO] simulator.main: Event loop latency 0.00043 s
simulator-1  | 2026-03-24 15:48:53,521 [INFO] simulator.main: Event loop latency 0.00107 s
simulator-1  | 2026-03-24 15:48:54,521 [INFO] simulator.main: Event loop latency 0.00092 s
simulator-1  | 2026-03-24 15:48:55,520 [INFO] simulator.main: Event loop latency 0.00020 s
simulator-1  | 2026-03-24 15:48:56,520 [INFO] simulator.main: Event loop latency 0.00038 s
simulator-1  | 2026-03-24 15:48:57,520 [INFO] simulator.main: Event loop latency 0.00041 s
simulator-1  | 2026-03-24 15:48:58,521 [INFO] simulator.main: Event loop latency 0.00071 s
simulator-1  | 2026-03-24 15:48:59,521 [INFO] simulator.main: Event loop latency 0.00065 s
simulator-1  | 2026-03-24 15:49:00,520 [INFO] simulator.main: Event loop latency 0.00029 s
simulator-1  | 2026-03-24 15:49:01,520 [INFO] simulator.main: Event loop latency 0.00031 s
simulator-1  | 2026-03-24 15:49:02,521 [INFO] simulator.main: Event loop latency 0.00086 s
simulator-1  | 2026-03-24 15:49:03,521 [INFO] simulator.main: Event loop latency 0.00088 s
simulator-1  | 2026-03-24 15:49:04,521 [INFO] simulator.main: Event loop latency 0.00091 s
simulator-1  | 2026-03-24 15:49:05,520 [INFO] simulator.main: Event loop latency 0.00027 s
simulator-1  | 2026-03-24 15:49:06,521 [INFO] simulator.main: Event loop latency 0.00064 s
simulator-1  | 2026-03-24 15:49:07,521 [INFO] simulator.main: Event loop latency 0.00085 s
simulator-1  | 2026-03-24 15:49:08,521 [INFO] simulator.main: Event loop latency 0.00131 s
simulator-1  | 2026-03-24 15:49:09,521 [INFO] simulator.main: Event loop latency 0.00141 s
simulator-1  | 2026-03-24 15:49:10,521 [INFO] simulator.main: Event loop latency 0.00059 s
simulator-1  | 2026-03-24 15:49:11,521 [INFO] simulator.main: Event loop latency 0.00056 s
simulator-1  | 2026-03-24 15:49:12,520 [INFO] simulator.main: Event loop latency 0.00018 s
simulator-1  | 2026-03-24 15:49:13,521 [INFO] simulator.main: Event loop latency 0.00058 s
simulator-1  | 2026-03-24 15:49:14,520 [INFO] simulator.main: Event loop latency 0.00020 s
simulator-1  | 2026-03-24 15:49:15,521 [INFO] simulator.main: Event loop latency 0.00105 s
simulator-1  | 2026-03-24 15:49:16,521 [INFO] simulator.main: Event loop latency 0.00072 s
simulator-1  | 2026-03-24 15:49:17,520 [INFO] simulator.main: Event loop latency 0.00024 s
simulator-1  | 2026-03-24 15:49:17,541 [INFO] simulator.engine.world_engine: State synced to PostgreSQL (200 rooms)
simulator-1  | 2026-03-24 15:49:18,521 [INFO] simulator.main: Event loop latency 0.00058 s
simulator-1  | 2026-03-24 15:49:19,521 [INFO] simulator.main: Event loop latency 0.00075 s
simulator-1  | 2026-03-24 15:49:20,521 [INFO] simulator.main: Event loop latency 0.00062 s
simulator-1  | 2026-03-24 15:49:21,521 [INFO] simulator.main: Event loop latency 0.00076 s
simulator-1  | 2026-03-24 15:49:22,520 [INFO] simulator.main: Event loop latency 0.00019 s
simulator-1  | 2026-03-24 15:49:23,521 [INFO] simulator.main: Event loop latency 0.00104 s
simulator-1  | 2026-03-24 15:49:24,520 [INFO] simulator.main: Event loop latency 0.00039 s
simulator-1  | 2026-03-24 15:49:25,521 [INFO] simulator.main: Event loop latency 0.00099 s
simulator-1  | 2026-03-24 15:49:26,521 [INFO] simulator.main: Event loop latency 0.00068 s
simulator-1  | 2026-03-24 15:49:27,521 [INFO] simulator.main: Event loop latency 0.00097 s
simulator-1  | 2026-03-24 15:49:28,521 [INFO] simulator.main: Event loop latency 0.00093 s
simulator-1  | 2026-03-24 15:49:29,520 [INFO] simulator.main: Event loop latency 0.00042 s
simulator-1  | 2026-03-24 15:49:30,521 [INFO] simulator.main: Event loop latency 0.00083 s
simulator-1  | 2026-03-24 15:49:31,522 [INFO] simulator.main: Event loop latency 0.00188 s
simulator-1  | 2026-03-24 15:49:32,522 [INFO] simulator.main: Event loop latency 0.00227 s
simulator-1  | 2026-03-24 15:49:33,521 [INFO] simulator.main: Event loop latency 0.00138 s
simulator-1  | 2026-03-24 15:49:34,521 [INFO] simulator.main: Event loop latency 0.00058 s
